route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
"17-708-j25-6","","E8","Rathenauplatz - Ostbahnhof - Erlenstegen (Ersatzverkehr für Straßenbahnlinie 8)","Stadtbus","3"
"17-708-j25-7","","E8","Hauptbahnhof - Rathenauplatz - Ostbahnhof - Erlenstegen (Ersatzverkehr für Straßenbahnlinie 8)","Stadtbus","3"
"17-711-j25-1","","E11","Hauptbahnhof - Mögeldorf - Tiergarten (Ersatzverkehr für Straßenbahnlinie 11)","Stadtbus","3"
"2-10-E-j25-1","","RE 10","Nürnberg  -  Fürth  -  Siegelsdorf  -  Neustadt (Aisch)  - Kitzingen  -  Dettelbach","R-Bahn","2"
"2-11-B-j25-1","","RB 11","Fürth  -  Zirndorf  -  Cadolzburg  ('Rangaubahn' )","R-Bahn","2"
"2-12-B-j25-1","","RB 12","Nürnberg  -  Fürth  -  Langenzenn  -  Markt Erlbach ('Zenngrundbahn')","R-Bahn","2"
"2-13-B-j25-1","","RB 13","Feilitzsch  -  Hof (Saale)","R-Bahn","2"
"2-14-E-j25-1","","RE 14","Nürnberg  -  Fürth  -  Erlangen  -  Forchheim  -  Bamberg  - Lichtenfels  -  Kronach  -  Ludwigsstadt","R-Bahn","2"
"2-16-B-j25-1","","RB 16","Nürnberg  -  Schwabach  -  Roth  -  Pleinfeld  - Weißenburg (Bay)  -  Treuchtlingen  -  Solnhofen","R-Bahn","2"
"2-16-E-j25-1","","RE 16","Nürnberg  -  Schwabach  -  Roth  - Pleinfeld  - Weißenburg (Bay)  -  Treuchtlingen  -  Otting-Weilheim","R-Bahn","2"
"2-19-E-j25-1","","RE 19","Nürnberg  -  Fürth  -  Erlangen  -  Forchheim  - Bamberg  -  Coburg  -  Sonneberg (Thü)","R-Bahn","2"
"2-1-E-j25-1","","RE 1","Nürnberg Hbf  -  Allersberg (Rothsee)  -  Kinding  (-  Ingolstadt) Nürnberg Hbf  -  Roth  (-  Ingolstadt)","R-Bahn","2"
"2-20-E-j25-1","","RE 20","Nürnberg  -  Fürth  -  Erlangen  - Forchheim  -  Bamberg  -  Haßfurt","R-Bahn","2"
"2-21-B-j25-1","","RB 21","Nürnberg - Nordost  -  Eschenau  -  Gräfenberg ('Gräfenbergbahn')","R-Bahn","2"
"2-22-E-j25-1","","RE 22","Nürnberg  -  Neumarkt (Oberpfalz)  -  Parsberg","R-Bahn","2"
"2-23-B-j25-1","","RB 23","Marktredwitz  -  Reuth (b. Erbendorf)","R-Bahn","2"
"2-23-E-j25-1","","RE 23","Marktredwitz  -  Reuth (b. Erbendorf)","R-Bahn","2"
"2-24-I-j25-1","","IC 24","Treuchtlingen  -  Ansbach  -  Steinach (bei Rothenburg)","Train","2"
"2-25-B-j25-1","","RB 25","Bamberg  -  Lichtenfels  -  Kronach","R-Bahn","2"
"2-28-E-j25-1","","RE 28","Nürnberg  -  Fürth  -  Erlangen  -  Forchheim  - Bamberg  -  Lichtenfels  -  Coburg  -  Sonneberg (Thü)","R-Bahn","2"
"2-29-E-j25-1","","RE 29","Nürnberg  -  Fürth  -  Erlangen  - Forchheim  -  Bamberg  -  Coburg","R-Bahn","2"
"2-2-B-j25-1","","RB 2","Feilitzsch  -  Hof (Saale)","R-Bahn","2"
"2-2-E-j25-1","","RE 2","Hof (Saale) -  Wiesau","R-Bahn","2"
"2-30-B-j25-1","","RB 30","Nürnberg  -  Hersbruck (re Pegn)  -  Neuhaus (Pegn)","R-Bahn","2"
"2-30-E-j25-1","","RE 30","Nürnberg  -  Hersbruck (re Pegn)  -  Pegnitz  -  Bayreuth  -  Hof (Saale)","R-Bahn","2"
"23-171-j25-1","","171","(Vach Nord -) Eigenes Heim - Hardhöhe - Oberfürberg Hardhöhe - Unterfürberg - Oberfürberg","Stadtbus","3"
"23-172-j25-1","","172","Fürth Hauptbahnhof - Kulturforum - Klinikum - Burgfarrnbach Billinganlage - Klinikum - Unterfarrnbach - Burgfarrnbach","Stadtbus","3"
"23-173-j25-1","","173","Jakobinenstraße - Fürth Hauptbahnhof - Stadeln - Atzenhof","Stadtbus","3"
"23-174-j25-1","","174","Jakobinenstraße - Fürth Hauptbahnhof - Stadeln - Vach Rathaus - Friedhof - Stadeln - Vach Bahnhof - Mannhof - Vach","Stadtbus","3"
"23-175-j25-1","","175","Vach Nord - Eigenes Heim - Rathaus - Stadtgrenze","Stadtbus","3"
"23-176-j25-1","","176","Hardhöhe - Gewerbegebiet Hardhöhe West - Hardhöhe","Stadtbus","3"
"23-177-j25-1","","177","Europaallee - infra - Fürth Hauptbahnhof - Rudolf-Schiestl-Straße","Stadtbus","3"
"23-178-j25-1","","178","Weiherhof - Fürth Oberfürberg - Hauptbahnhof - Nbg. Schmalau - Steinach","Stadtbus","3"
"23-178-j25-2","","178","Weiherhof - Fürth Oberfürberg - Hauptbahnhof - Nbg. Schmalau - Steinach","Stadtbus","3"
"23-179-j25-1","","179","Fürth Süd - Hauptbahnhof - Nürnberg Schmalau - Großgründlach (- Am Wegfeld)","Stadtbus","3"
"23-189-j25-1","","189","Fürth Hauptbahnhof - Kulturforum - Conrad-Stutz-Weg","Stadtbus","3"
"2-31-B-j25-1","","RB 31","Nürnberg  -  Neunkirchen am Sand  -  Simmelsdorf-Hüttenbach ( Gesamtverkehr Nürnberg - Neunkirchen am Sand siehe )","R-Bahn","2"
"2-31-E-j25-1","","RE 31","Nürnberg  -  Hersbruck (re Pegn)  -  Pegnitz  - Kirchenlaibach  -  Marktredwitz  -  Hof (Saale)","R-Bahn","2"
"2-32-E-j25-1","","RE 32","Nürnberg - Herbsbruck (re Pegn) - Pegnitz - Bayreuth - Trebgast - Neuenmarkt-Wirsberg - Kulmbach - Hochstadt-Marktzeuln - Lichtenfels - Coburg/Bamberg","R-Bahn","2"
"23-33-j25-1","","33","Nürnberg Flughafen - Am Wegfeld - Fürth Hauptbahnhof","Stadtbus","3"
"2-33-E-j25-1","","RE 33","Nürnberg  -  Pegnitz  -  Marktredwitz  -  Schirnding  (-  Cheb)","R-Bahn","2"
"2-35-E-j25-1","","RE 35","Bamberg  -  Lichtenfels  -  Hochstadt-Marktzeuln  - Kulmbach  - Neuenmarkt-Wirsberg  -  Marktschorgast  -  Hof (Saale)","R-Bahn","2"
"2-35-G-j25-1","","RE 35","Bamberg  -  Lichtenfels  -  Kulmbach  -  Neuenmarkt-Wirsberg  - Marktschorgast  -  Münchberg  -  Hof (Saale) (Gesamtverkehr Bamberg - Lichtenfels - Hof)","R-Bahn","2"
"2-38-E-j25-1","","RE 38","Bamberg - Lichtenfels - Hochstadt-Marktzeuln - Kulmbach - Neuenmarkt-Wirsberg - Trebgast - Bayreuth - Pegnitz - Hersburck (re Pegn) - Nürnberg","R-Bahn","2"
"2-40-E-j25-1","","RE 40","Nürnberg Hbf - Neukirchen (b S-R) - Amberg","R-Bahn","2"
"2-41-E-j25-1","","RE 41","(Nürnberg  -)  Neukirchen (b S-R)  -  Vilseck  -  Freihung  -  Thansüß","R-Bahn","2"
"2-43-E-j25-1","","RE 43","Amberg  -  Neukirchen (b S-R)  -  Hersbruck  -  Lauf  -  Nürnberg ( Gesamtverkehr Lauf (li Pegn) - Nürnberg siehe  )","R-Bahn","2"
"2-47-E-j25-1","","RE 47","Nürnberg Hbf - Neukirchen (b S-R) - Amberg","R-Bahn","2"
"2-53-B-j25-1","","RB 53","Bamberg  -  Oberhaid (Ofr)  -  Haßfurt","R-Bahn","2"
"2-54-E-j25-1","","RE 54","Haßfurt  -  Bamberg","R-Bahn","2"
"2-55-E-j25-1","","RE 55","Haßfurt  -  Bamberg  (-  Lichtenfels)","R-Bahn","2"
"2-60-E-j25-1","","RE 60","Nürnberg  -  Schwabach  -  Roth  - Pleinfeld  -  Weißenburg (Bay)  -  Treuchtlingen","R-Bahn","2"
"2-61-B-j25-1","","RB 61","Roth - Hilpoltstein  ('Gredl-Bahn') (Weitere Fahrten mit Busverkehr siehe Linie 611)","R-Bahn","2"
"2-61-I-j25-1","","IC 61","(Lichtenfels  -  Bamberg  -  Erlangen)  -  Nürnberg  -  Ansbach","Train","2"
"2-62-B-j25-1","","RB 62","Pleinfeld  -  Gunzenhausen  -  Wassertrüdingen ('Hesselbergbahn')","R-Bahn","2"
"2-62-B-j25-2","","RB 62","Pleinfeld  -  Gunzenhausen  -  Wassertrüdingen ('Hesselbergbahn')","R-Bahn","2"
"2-7-E-j25-1","","RE 7","Nürnberg  -  Treuchtlingen","R-Bahn","2"
"2-80-E-j25-1","","RE 80","Otting-Weilheim  -  Treuchtlingen  -  Gunzenhausen  - Ansbach  -  Steinach (bei Rothenburg)  -  Marktbreit","R-Bahn","2"
"2-81-B-j25-1","","RB 81","Neustadt (Aisch)  -  Bad Windsheim  -  Steinach (bei Rothenburg)","R-Bahn","2"
"2-82-B-j25-1","","RB 82","Steinach  -  Rothenburg ob der Tauber","R-Bahn","2"
"2-87-E-j25-1","","RE 87","(Aschaffenburg  -)  Satteldorf  -  Crailsheim","R-Bahn","2"
"2-87-G-j25-1","","RE 87","(Aschaffenburg/Wertheim  -)  Satteldorf  -  Crailsheim","R-Bahn","2"
"2-88-B-j25-1","","RB 88","(Wertheim  -)  Satteldorf  -  Crailsheim","R-Bahn","2"
"2-90-E-j25-1","","RE 90","Nürnberg  -  Wicklesgreuth  -  Ansbach  -  Schnelldorf","R-Bahn","2"
"2-91-B-j25-1","","RB 91","Wicklesgreuth -  Windsbach","R-Bahn","2"
"33-280-j25-1","","280","Lindnerstraße - Paul-Gossen-Str. - Busbf. Buckenhof/Spardorf","Stadtbus","3"
"33-281-j25-1","","281","Hugenottenplatz - Paul-Gossen-Straße - Frauenaurach - Tulpenweg","Stadtbus","3"
"33-281-S-j25-1","","281","Hugenottenplatz - Paul-Gossen-Straße - Frauenaurach - Tulpenweg","Stadtbus","3"
